Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Quảng Ninh,20,Nam,Sinh viên,10,2,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 15.536845, 'Longitude': 104.672358}",Ứng Hòa,14,2
Nam Định,32,Nam,Kỹ sư,18,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 23.035092, 'Longitude': 103.490612}",Thanh Trì,30,3
Lào Cai,32,Nam,Công nhân,18,4,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 11.033456, 'Longitude': 105.001134}",Long Biên,48,3
Sơn La,25,Nam,Phục vụ,7,1,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 18.904748, 'Longitude': 108.376053}",Hoàng Mai,25,4
Điện Biên,34,Nam,Freelancer,10,5,Thích yên tĩnh,"['Chỗ để xe', 'Bếp']","{'Latitude': 16.218422, 'Longitude': 104.179092}",Long Biên,17,3
Cao Bằng,35,Nam,Phục vụ,9,2,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 13.27225, 'Longitude': 106.69482}",Sơn Tây,15,4
Phú Thọ,18,Nữ,Sinh viên,6,5,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 15.178629, 'Longitude': 104.046621}",Thường Tín,18,2
Hải Dương,31,Nữ,Freelancer,15,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 18.983672, 'Longitude': 108.749007}",Phú Xuyên,38,3
Lạng Sơn,22,Nam,Sinh viên,8,3,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 12.294365, 'Longitude': 106.341225}",Ba Vì,36,2
Bắc Ninh,31,Nữ,Kỹ sư,5,2,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 11.791848, 'Longitude': 103.689767}",Thanh Trì,20,1
Tuyên Quang,31,Nữ,Phục vụ,19,2,Thích yên tĩnh,"['Bếp', 'Chỗ để xe', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 21.926458, 'Longitude': 102.17954}",Tây Hồ,28,3
Sơn La,29,Nữ,Phục vụ,15,5,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 14.413708, 'Longitude': 103.70057}",Quốc Oai,26,3
Hải Dương,25,Nam,Nhân viên văn phòng,19,5,Thích yên tĩnh,"['An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 19.391618, 'Longitude': 102.625557}",Sơn Tây,23,4
Hà Giang,28,Nam,Nhân viên văn phòng,18,4,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 16.311607, 'Longitude': 103.651868}",Cầu Giấy,16,4
Điện Biên,24,Nữ,Phục vụ,17,2,Thích yên tĩnh,['Bếp'],"{'Latitude': 10.927308, 'Longitude': 108.348152}",Bắc Từ Liêm,42,3
Điện Biên,25,Nữ,Freelancer,10,3,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 9.84543, 'Longitude': 108.906859}",Sơn Tây,42,2
Nam Định,33,Nam,Nhân viên văn phòng,7,2,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 22.347295, 'Longitude': 103.857991}",Gia Lâm,46,1
Tuyên Quang,25,Nam,Phục vụ,20,1,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 16.224082, 'Longitude': 103.647286}",Hà Đông,10,1
Bắc Kạn,25,Nữ,Freelancer,14,1,Không quan trọng,['Bếp'],"{'Latitude': 11.969051, 'Longitude': 109.242235}",Bắc Từ Liêm,36,3
Bắc Giang,35,Nam,Nhân viên văn phòng,16,3,Nuôi thú cưng,"['Bếp', 'Máy lạnh', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 15.653798, 'Longitude': 104.028505}",Ba Đình,48,2
Sơn La,27,Nữ,Freelancer,15,4,Không quan trọng,"['An ninh tốt', 'Bếp', 'Chỗ để xe']","{'Latitude': 15.910564, 'Longitude': 103.906237}",Bắc Từ Liêm,40,1
Hải Dương,18,Nữ,Sinh viên,5,3,Thích yên tĩnh,"['Bếp', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 9.468414, 'Longitude': 108.450085}",Đống Đa,32,1
Cao Bằng,33,Nam,Phục vụ,5,4,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 21.789364, 'Longitude': 107.620644}",Sóc Sơn,33,4
Hòa Bình,33,Nam,Phục vụ,18,4,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 14.048559, 'Longitude': 108.255329}",Thanh Oai,44,2
Lạng Sơn,24,Nữ,Công nhân,14,3,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 17.112942, 'Longitude': 104.293115}",Nam Từ Liêm,50,4
Hải Phòng,33,Nữ,Công nhân,14,1,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 10.054069, 'Longitude': 106.585035}",Tây Hồ,35,4
Hà Nội,26,Nữ,Công nhân,10,2,Không quan trọng,"['Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 20.596879, 'Longitude': 109.401146}",Hoài Đức,21,3
Thái Bình,29,Nữ,Công nhân,5,5,Không quan trọng,['Bếp'],"{'Latitude': 22.624386, 'Longitude': 105.004768}",Hai Bà Trưng,17,4
Vĩnh Phúc,31,Nam,Kỹ sư,18,5,Nuôi thú cưng,"['Bếp', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 9.343991, 'Longitude': 108.438507}",Gia Lâm,24,3
Thái Nguyên,35,Nam,Phục vụ,13,3,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 22.507271, 'Longitude': 104.759982}",Mỹ Đức,44,4
Hà Nội,21,Nữ,Sinh viên,0,2,Không quan trọng,"['An ninh tốt', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 17.353865, 'Longitude': 105.812247}",Mỹ Đức,41,3
Hải Phòng,35,Nam,Công nhân,15,4,Không quan trọng,"['Bếp', 'An ninh tốt', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 15.18979, 'Longitude': 106.53805}",Phú Xuyên,41,2
Hà Nội,32,Nữ,Kỹ sư,17,5,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 12.77443, 'Longitude': 106.174118}",Bắc Từ Liêm,29,3
Lào Cai,23,Nam,Nhân viên văn phòng,18,2,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.871949, 'Longitude': 104.562685}",Thường Tín,19,4
Hải Dương,28,Nam,Công nhân,8,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 19.227473, 'Longitude': 103.547424}",Thanh Oai,15,4
Bắc Ninh,28,Nữ,Freelancer,9,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.119605, 'Longitude': 105.314281}",Chương Mỹ,17,1
Lạng Sơn,29,Nam,Kỹ sư,13,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 11.245314, 'Longitude': 108.020609}",Hà Đông,26,1
Quảng Ninh,35,Nam,Kỹ sư,20,3,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 15.752592, 'Longitude': 107.206282}",Hoàn Kiếm,21,1
Hải Phòng,27,Nữ,Công nhân,14,4,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 19.374852, 'Longitude': 108.424204}",Thường Tín,20,2
Sơn La,34,Nữ,Nhân viên văn phòng,17,5,Không quan trọng,"['Chỗ để xe', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 16.35908, 'Longitude': 108.286778}",Long Biên,20,1
Ninh Bình,33,Nam,Kỹ sư,18,1,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 8.552146, 'Longitude': 104.838053}",Hà Đông,33,1
Sơn La,30,Nam,Freelancer,13,5,Không quan trọng,['Chỗ để xe'],"{'Latitude': 18.241698, 'Longitude': 105.695634}",Sóc Sơn,48,2
Cao Bằng,28,Nam,Phục vụ,15,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 19.92918, 'Longitude': 102.733393}",Hoài Đức,16,3
Tuyên Quang,32,Nam,Kỹ sư,12,5,Không quan trọng,"['Nội thất sẵn', 'Máy lạnh']","{'Latitude': 11.497346, 'Longitude': 108.228701}",Cầu Giấy,18,1
Thái Bình,29,Nam,Freelancer,10,5,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 15.292124, 'Longitude': 102.890739}",Hoài Đức,12,2
Lạng Sơn,27,Nữ,Freelancer,10,3,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 20.213429, 'Longitude': 108.619329}",Phú Xuyên,49,3
Sơn La,27,Nữ,Freelancer,16,4,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 19.910621, 'Longitude': 103.947235}",Ba Đình,34,1
Hưng Yên,28,Nữ,Phục vụ,19,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 20.762509, 'Longitude': 104.678912}",Bắc Từ Liêm,32,1
Bắc Ninh,27,Nữ,Phục vụ,15,4,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 19.759851, 'Longitude': 103.829687}",Sơn Tây,48,3
Lai Châu,26,Nữ,Công nhân,10,4,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 13.53293, 'Longitude': 106.412452}",Ứng Hòa,34,2
Yên Bái,35,Nữ,Freelancer,13,5,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 12.885996, 'Longitude': 108.97883}",Chương Mỹ,33,3
Hà Nội,20,Nam,Sinh viên,1,2,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 13.805181, 'Longitude': 108.040665}",Thanh Trì,20,1
Hưng Yên,32,Nam,Kỹ sư,13,2,Không quan trọng,"['Bếp', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 20.100935, 'Longitude': 109.400353}",Đống Đa,37,1
Lai Châu,23,Nam,Kỹ sư,10,5,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 21.278902, 'Longitude': 104.247808}",Thanh Trì,16,4
Vĩnh Phúc,27,Nam,Kỹ sư,7,5,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 10.847633, 'Longitude': 102.257509}",Đông Anh,31,1
Hưng Yên,25,Nữ,Kỹ sư,10,2,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Bếp', 'Nội thất sẵn']","{'Latitude': 20.523605, 'Longitude': 108.260324}",Ba Vì,35,4
Hải Dương,33,Nam,Kỹ sư,19,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Máy lạnh', 'Bếp']","{'Latitude': 19.553938, 'Longitude': 108.396928}",Hoài Đức,25,1
Hải Phòng,25,Nữ,Công nhân,9,1,Nuôi thú cưng,"['Chỗ để xe', 'Bếp']","{'Latitude': 17.688502, 'Longitude': 107.864996}",Gia Lâm,42,2
Lai Châu,30,Nam,Công nhân,7,4,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 19.730095, 'Longitude': 108.203936}",Tây Hồ,38,3
Hòa Bình,33,Nữ,Nhân viên văn phòng,15,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 14.166732, 'Longitude': 105.831365}",Hoài Đức,16,2
Cao Bằng,34,Nữ,Nhân viên văn phòng,19,3,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 12.782599, 'Longitude': 107.700901}",Gia Lâm,50,4
Hòa Bình,25,Nam,Kỹ sư,13,1,Nuôi thú cưng,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 21.358008, 'Longitude': 105.86786}",Quốc Oai,32,1
Sơn La,29,Nữ,Nhân viên văn phòng,8,2,Không quan trọng,"['Máy lạnh', 'Bếp', 'Chỗ để xe']","{'Latitude': 19.688851, 'Longitude': 107.596991}",Tây Hồ,31,3
Cao Bằng,31,Nữ,Kỹ sư,8,4,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 19.008331, 'Longitude': 108.176574}",Phúc Thọ,14,3
Ninh Bình,35,Nam,Công nhân,13,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 13.340138, 'Longitude': 108.016577}",Gia Lâm,13,4
Hà Giang,27,Nữ,Freelancer,18,2,Không quan trọng,"['An ninh tốt', 'Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 16.081897, 'Longitude': 103.106518}",Tây Hồ,33,3
Hải Dương,35,Nam,Công nhân,12,4,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 23.348744, 'Longitude': 108.320948}",Hoàng Mai,28,1
Lào Cai,33,Nữ,Kỹ sư,19,1,Không quan trọng,"['Chỗ để xe', 'Bếp']","{'Latitude': 12.020718, 'Longitude': 108.096578}",Long Biên,40,3
Nam Định,20,Nam,Sinh viên,3,3,Không quan trọng,['Bếp'],"{'Latitude': 15.132787, 'Longitude': 108.184674}",Đông Anh,45,2
Bắc Giang,30,Nữ,Nhân viên văn phòng,17,2,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh']","{'Latitude': 11.613194, 'Longitude': 106.37323}",Hai Bà Trưng,20,3
Hải Phòng,32,Nam,Nhân viên văn phòng,12,2,Không quan trọng,['Chỗ để xe'],"{'Latitude': 9.914897, 'Longitude': 108.225412}",Hai Bà Trưng,33,1
Hưng Yên,27,Nữ,Kỹ sư,8,4,Thích yên tĩnh,"['An ninh tốt', 'Bếp']","{'Latitude': 16.971764, 'Longitude': 104.85158}",Quốc Oai,11,1
Hà Giang,27,Nam,Phục vụ,18,2,Không quan trọng,"['Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 20.995472, 'Longitude': 105.123454}",Tây Hồ,18,2
Ninh Bình,34,Nữ,Kỹ sư,16,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 18.670673, 'Longitude': 106.283059}",Quốc Oai,12,1
Lai Châu,24,Nam,Freelancer,6,3,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 17.359235, 'Longitude': 103.419103}",Phúc Thọ,38,4
Hưng Yên,35,Nữ,Công nhân,10,1,Không quan trọng,['Bếp'],"{'Latitude': 21.541794, 'Longitude': 104.17}",Ứng Hòa,39,3
Quảng Ninh,35,Nữ,Freelancer,20,4,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 15.12708, 'Longitude': 103.416559}",Hoàn Kiếm,36,2
Ninh Bình,28,Nữ,Kỹ sư,17,2,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 12.900036, 'Longitude': 102.9378}",Hà Đông,23,3
Bắc Giang,34,Nữ,Freelancer,10,2,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 13.428251, 'Longitude': 104.340324}",Ba Đình,21,1
Điện Biên,20,Nam,Sinh viên,5,3,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 10.612094, 'Longitude': 108.326037}",Quốc Oai,18,4
Lai Châu,34,Nam,Nhân viên văn phòng,16,2,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 22.594421, 'Longitude': 102.71198}",Thanh Xuân,15,4
Hải Dương,21,Nam,Sinh viên,9,1,Nuôi thú cưng,"['Bếp', 'Chỗ để xe']","{'Latitude': 15.196047, 'Longitude': 107.736516}",Đông Anh,46,3
Lai Châu,31,Nam,Freelancer,19,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 9.482423, 'Longitude': 109.134631}",Quốc Oai,48,4
Lai Châu,30,Nam,Kỹ sư,20,1,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 11.048626, 'Longitude': 104.721537}",Đống Đa,15,3
Lai Châu,24,Nam,Phục vụ,17,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.110792, 'Longitude': 106.773557}",Sơn Tây,23,1
Lào Cai,27,Nữ,Nhân viên văn phòng,13,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 21.641017, 'Longitude': 104.889096}",Nam Từ Liêm,29,2
Hà Giang,25,Nam,Freelancer,13,1,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 16.459802, 'Longitude': 103.014829}",Ba Vì,20,3
Hưng Yên,23,Nam,Freelancer,17,1,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 21.075713, 'Longitude': 106.103722}",Chương Mỹ,42,2
Nam Định,30,Nam,Nhân viên văn phòng,10,3,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 22.455912, 'Longitude': 107.596076}",Hà Đông,17,4
Điện Biên,34,Nữ,Freelancer,9,1,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn']","{'Latitude': 22.828094, 'Longitude': 102.938844}",Đống Đa,21,3
Lạng Sơn,30,Nữ,Phục vụ,11,1,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 15.059144, 'Longitude': 108.612782}",Thạch Thất,13,4
Hà Nam,33,Nữ,Nhân viên văn phòng,15,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp', 'Chỗ để xe']","{'Latitude': 11.037423, 'Longitude': 103.975631}",Đông Anh,32,1
Vĩnh Phúc,31,Nữ,Phục vụ,16,1,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Bếp']","{'Latitude': 12.963252, 'Longitude': 107.037044}",Ba Đình,47,1
Hà Nam,23,Nam,Phục vụ,19,4,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 19.575696, 'Longitude': 103.744366}",Sóc Sơn,49,1
Yên Bái,27,Nữ,Nhân viên văn phòng,20,4,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 15.685265, 'Longitude': 104.340276}",Chương Mỹ,32,2
Hà Giang,18,Nữ,Sinh viên,2,4,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 12.794858, 'Longitude': 106.629715}",Thanh Trì,33,4
Tuyên Quang,34,Nữ,Freelancer,8,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 9.418649, 'Longitude': 106.284289}",Cầu Giấy,29,4
Nam Định,32,Nam,Nhân viên văn phòng,19,4,Nuôi thú cưng,"['An ninh tốt', 'Bếp']","{'Latitude': 20.845072, 'Longitude': 104.831801}",Hoàn Kiếm,33,4
Nam Định,30,Nam,Nhân viên văn phòng,14,1,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 15.223852, 'Longitude': 105.830989}",Nam Từ Liêm,36,4
Lai Châu,26,Nữ,Phục vụ,8,2,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 15.546677, 'Longitude': 105.593564}",Hoàng Mai,23,3
Bắc Ninh,32,Nữ,Công nhân,17,1,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 14.305017, 'Longitude': 106.090867}",Sơn Tây,23,4
Tuyên Quang,34,Nam,Freelancer,15,1,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 9.811111, 'Longitude': 107.286079}",Đan Phượng,35,1
Hòa Bình,21,Nam,Sinh viên,1,4,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 15.982554, 'Longitude': 108.469496}",Chương Mỹ,33,2
Hà Nam,31,Nam,Freelancer,20,5,Thích yên tĩnh,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 14.384601, 'Longitude': 109.39586}",Tây Hồ,28,4
Sơn La,18,Nữ,Sinh viên,5,3,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 8.455626, 'Longitude': 105.642522}",Mỹ Đức,50,3
Bắc Ninh,26,Nam,Phục vụ,7,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 14.143252, 'Longitude': 103.591173}",Thường Tín,20,3
Hải Dương,28,Nam,Công nhân,6,3,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 8.783549, 'Longitude': 104.048534}",Hoài Đức,49,3
Ninh Bình,30,Nữ,Freelancer,17,4,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 16.098314, 'Longitude': 108.658546}",Hoài Đức,29,1
Điện Biên,22,Nam,Sinh viên,10,1,Nuôi thú cưng,['Bếp'],"{'Latitude': 8.2921, 'Longitude': 107.327282}",Thạch Thất,13,1
Lạng Sơn,24,Nữ,Nhân viên văn phòng,11,1,Nuôi thú cưng,"['An ninh tốt', 'Bếp']","{'Latitude': 8.826815, 'Longitude': 107.011753}",Ba Vì,16,1
Sơn La,35,Nam,Freelancer,8,2,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh']","{'Latitude': 9.136637, 'Longitude': 104.380413}",Quốc Oai,40,4
Nam Định,28,Nam,Nhân viên văn phòng,15,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 22.507582, 'Longitude': 105.598994}",Cầu Giấy,11,1
Phú Thọ,22,Nữ,Sinh viên,9,5,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 19.171656, 'Longitude': 103.590337}",Hoàng Mai,12,1
Nam Định,22,Nữ,Sinh viên,6,2,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh']","{'Latitude': 11.144657, 'Longitude': 108.808049}",Tây Hồ,38,3
Lạng Sơn,30,Nam,Công nhân,17,2,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 17.585956, 'Longitude': 106.270089}",Long Biên,36,4
Thái Nguyên,28,Nam,Công nhân,5,5,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 12.380804, 'Longitude': 108.991569}",Phú Xuyên,46,3
Bắc Giang,22,Nam,Sinh viên,2,2,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe', 'Bếp']","{'Latitude': 9.381924, 'Longitude': 104.924961}",Phú Xuyên,21,3
Yên Bái,18,Nam,Sinh viên,5,1,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 10.969201, 'Longitude': 105.651345}",Hoài Đức,38,2
Yên Bái,29,Nam,Phục vụ,14,3,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt', 'Máy lạnh', 'Bếp']","{'Latitude': 12.649345, 'Longitude': 105.804499}",Mỹ Đức,36,2
Phú Thọ,30,Nam,Nhân viên văn phòng,20,2,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'An ninh tốt', 'Bếp']","{'Latitude': 17.607457, 'Longitude': 108.051662}",Phúc Thọ,25,2
Bắc Ninh,25,Nữ,Nhân viên văn phòng,18,2,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.25604, 'Longitude': 102.996812}",Ba Vì,10,4
Lào Cai,34,Nữ,Nhân viên văn phòng,8,1,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 11.038707, 'Longitude': 104.173057}",Ba Đình,48,1
